Match_ID,Round,Date,LogoHome,LogoAway,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
2m5wFPdk,ROUND 8,08.10.2023,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,Brighton,Liverpool,2,2,1,2,0.67,1.42,46,54,8,6,7,3,10,6,5,1,0,0,7,9,1,0,7,10,-,-,-,-,205,238,31,43,18,16,-,-
27P2HIIm,ROUND 8,08.10.2023,https://static.flashscore.com/res/image/data/Qo3RdMjl-ARW4wdCc.png,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,West Ham,Newcastle,2,2,1,0,0.89,0.11,29,71,1,3,0,3,8,8,1,0,1,1,5,1,0,0,7,8,-,-,2,1,128,335,38,50,11,17,-,-
GAT6GxYg,ROUND 8,08.10.2023,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Wolves,Aston Villa,1,1,0,0,0.23,0.61,50,50,3,8,3,7,5,9,2,4,3,1,4,4,1,0,7,5,-,-,1,2,187,183,36,37,17,16,-,-
bFbnD3R1,ROUND 8,07.10.2023,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Crystal Palace,Nottingham,0,0,0,0,0.42,0.65,47,53,2,6,2,4,5,3,2,1,0,1,11,11,2,0,3,4,-,-,-,-,233,268,54,59,26,24,-,-
pCfrEqCe,ROUND 8,07.10.2023,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Burnley,Chelsea,1,4,1,1,0.27,0.28,32,68,2,5,1,4,3,7,0,3,1,1,9,10,0,0,5,3,-,-,2,3,183,387,26,69,7,32,-,-
CInUym42,ROUND 8,07.10.2023,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Everton,Bournemouth,3,0,2,0,0.73,0.18,47,53,12,4,9,4,3,9,7,4,1,0,11,6,0,1,9,5,-,-,1,0,169,208,54,42,34,25,-,-
j9oYz7J8,ROUND 8,07.10.2023,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Fulham,Sheffield Utd,3,1,0,0,1.25,0.00,57,43,10,0,8,0,4,5,6,1,2,1,11,10,0,2,3,4,-,-,-,-,251,191,67,54,41,13,-,-
8pQbIb3s,ROUND 8,07.10.2023,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Manchester Utd,Brentford,2,1,0,1,0.39,0.54,60,40,7,8,6,7,6,8,5,3,2,1,2,6,0,1,6,5,-,-,0,1,255,182,59,31,43,19,-,-
WK2VZQYE,ROUND 8,07.10.2023,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,Luton,Tottenham,0,1,0,0,0.09,1.78,18,82,3,12,3,9,3,14,1,2,3,0,15,13,3,0,11,3,0,1,2,2,79,347,37,63,15,33,-,-
v7i1fwb8,ROUND 2,03.10.2023,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Luton,Burnley,1,2,0,1,0.12,0.94,46,54,4,7,4,6,5,8,0,4,2,2,10,4,0,0,7,4,-,-,1,0,187,222,51,56,20,32,-,-
